post_id,cmt_content,cmt_author,cmt_created_at
1537907,이번에 ev3 GT 뽑았습니다.와이프 차로요... 딱 불나기 이틀전에요 ㅋㅋㅋ제차는 아5페리 입니다.어쩌다 보니 전기차 2대 한달 반사이에 두대가 다 전기차가 되었는데...최근 화재 이슈로 아주 당혹스러운 상황이긴 하나....차에 올라타서 운전하면 모든 걱정이 다 사라집니다...너무 만족스럽구요... 와이프도 다시는 내연차 못 탈것 같다고 합니다...서두가 길었네요... 전 하루 출퇴근 90정도 됩니다... 전주~진안 출퇴근...아마도 하루 200정도 타신다면... 제 생각엔 그래도 집밥 회사밥 있으면 전기가 답입니다...톨비 반값에 연료비 1/3 정도 예상됩니다...드와옵션넣고 타시면 고속주행 아주 편안하실겁니다....어느정도 자율주행 가능하구요... 전 ev3 강추드립니다...,독사II전주,2024-08-13 09:27:00
1537907,"폐차도 폐차고, 중고가도 기대가 안되고. 그저 웃픈 현실입니다. 드라이브와이즈 안넣었는데.. 한 번더 알아보겠습니다.그래도 이런 댓글에 뭔가 안심이됩니다.",장거리lev3l광주,2024-08-13 09:36:00
1537907,저는 하루에 212키로 출퇴근 중인데 전기차+모닝lpg 조합으로 하고 있어요. 톨비와 에너지 30이하로 다니고 있어요! 물론 국도도 반정도 됩니다.(3400원),봉팡l아이오닉5l경남,2024-08-13 10:01:00
1537907,저보다 멀리다니시는 분이 계시네요. 대단하세요!. 저도 목표는 30이하입니다. 전기차라면 20정도면 될것같기도 해요.,장거리lev3l광주,2024-08-13 13:09:00
1537907,저 같은 경우 년 600정도 지출되 전기차 구입해 차액으로 할분 납부 했습니다.ㅎ 전 아이오닉6 4륜 추천드립니다.,역전길I아6I예천,2024-08-13 10:16:00
1537907,이사를 가시는게...ㅋ,다음이I니로EV I 대구,2024-08-13 12:15:00
1533898,안전에 문제가 있을거 같은데 왜 이렇게 만들었을까요,포나미l아이6l강원,2024-08-09 12:44:00
1533898,"구조 결함이네요,,ㅡ.ㅡ;;",빗소리ll니플ll경남,2024-08-09 12:46:00
1533898,아6 구조결함은 언제쯤 해결해 주나요?,뽀기남편l서울,2024-08-09 12:53:00
1533898,"캐빈필터로 들어온다는 줄 알았는데 아니군요.프렁크내 공간은 수밀구역이 아니라 물 들어와도 상관 없는걸로 알고 있습니다.모든 케이블 방수처리 되어있고, 저기가 수밀이 되려면 차 밑에서 들이치는 물도 다 막아야하죠;;",뚜론I5NlineI경기,2024-08-09 13:04:00
1533898,리콜신고했는데 깜깜 무소식 ㅠㅠㅠ,wstb0502,2024-08-09 13:05:00
1533898,개인적으로 이게 왜 문제인지 모르겠습니다. 일단 방수구역도 아니고 공조기 밖은 원래 물이 튀고 새고하기 때문에 카울커버를 들어내고 안쪽에 새면 안되는데 새면 문제겠습니다만...그런데 회원님차 카울커버 고정에 문제가 있는 것 같은데 카울커버를 교체해달라고 해보시는건 어떨까 싶어요. 생각해보면 고정이 잘 안되어 틈이 생기는건 카울커버 형상 문제도 있지 않겠나 싶어요. 카울커버와 몰딩이 잘 붙어 있으면 물 유입이 없으니 걱정하시는 문제도 없을 것 같습니다.,소중한꿈I아6I수원,2024-08-09 13:19:00
1533898,공유 감사합니다^^,어대전차I오산,2024-08-09 13:25:00
1533898,이거 알고나서 원래 아이오닉 6 구매 의사가 있다가 없어졌습니다....ㅜㅜ,전기 햄토리,2024-08-09 13:38:00
1533898,블루핸즈에서 개선품 무상교체해 줍니다.,다둥이 아빠l서울,2024-08-11 09:47:00
1533898,문제가있네요,띠띠빵빵자동차,2024-08-10 09:16:00
1533898,"물샘때문에 블루핸즈 방문했는데, 카울커버도 개선품으로 교체해 주시고, 에어컨 필터쪽도 새로운 구조물을 장착해주셨습니다. 작업을 꽤 오래 하시더라구요. 그리고 앞이 안 보일 엄청난 폭우에 운전하고 지하주차장에서 에어컨필터 꺼내보니 하나도 안 젖어 있더군요.",다둥이 아빠l서울,2024-08-11 09:46:00
1533898,여기는 경남지역인데 개선품 없다고 하던데요...혹시 지역이 어디인가요?,wstb0502,2024-08-12 12:31:00
1530903,2021년 연구 논문으로는 사실 그렇게 와닿지 않습니다.2023년까지의 누적치로 연구를 다시 진행해야 설득이 될 수 있을 것 같습니다.아무래도 2021년에는 지금만큼 보급이 많이 되지 않았다보니.,솨람 대구,2024-08-07 08:39:00
1530903,ㅋㅋㅋㅋㅋ,얼lEV3l서울,2024-08-07 08:45:00
1530903,"2023년 글이며, 사용된 일부 국내 통계가 2021년 데이터입니다.관련 최근 통계가 궁금하시면 아래 링크에서 확인하시기 바랍니다.https://www.korea.kr/briefing/pressReleaseView.do?newsId=156624847&pageIndex=1&repCodeType=&repCode=&startDate=2023-04-11&endDate=2024-04-11&srchWord=&period=#pressRelease",복파Iix1I서울,2024-08-07 08:48:00
1530903,"관련 자료로 등록대수 대비 화재율을 비교한 기사는 아래와 같습니다.https://www.khan.co.kr/national/incident/article/202404111224001#:~:text=%EA%B5%AD%ED%86%A0%EA%B5%90%ED%86%B5%EB%B6%80%EC%9D%98%20%EA%B5%AD%EB%82%B4%20%EC%9E%90%EB%8F%99%EC%B0%A8%20%EB%93%B1%EB%A1%9D%20%ED%98%84%ED%99%A9%20%ED%86%B5%EA%B3%84%EC%97%90%20%EB%94%B0%EB%A5%B4%EB%A9%B4,%EB%82%B4%EC%97%B0%EA%B8%B0%EA%B4%80%20%EC%B0%A8%EB%9F%89%20%EB%88%84%EC%A0%81%20%EB%93%B1%EB%A1%9D%20%EB%8C%80%EC%88%98%EB%8A%94%202518%EB%A7%8C9000%EB%8C%80(%ED%9C%98%EB%B0%9C%EC%9C%A0%EC%B0%A8%201231%EB%A7%8C4000%EB%8C%80%2C결론적으로 최근 국내 기준으로 전기차나 내연기관차나 화재 발생 비율은 유사합니다.",복파Iix1I서울,2024-08-07 08:52:00
1530903,"오 최근 기사도 있군요!! 정보 감사드립니다!! (와이프 설득하기 좋은 자료 ㅋㅋㅋ)아무래도 NCM 배터리가 발화할 때 드라마틱한 모습을 보이다보니 그 모습에 많은 영향을 받는 것 같습니다.저도 지금 모델 Y 계속 째려보고 있는데, 지금 리뉴얼 된 것을 살지 아니면 참았다가 주니퍼를 살지 고민 중입니다.정보 감사드립니다!!",솨람 대구,2024-08-07 08:56:00
1530903,이런식으로 반응하시면 대화가 되지 않습니다 :),솨람 대구,2024-08-07 08:55:00
1530903,누군가가 이득없이 노력해서 좋은 퀄리티의 스터디를 공유해주면 먼저 까기보단 감사함을 표현하는게 상식적인 사회가 아닌가 싶습니다 :),얼lEV3l서울,2024-08-07 09:27:00
1524969,뒷. 스포일러 습기차는지도 확인해야합니다,쟁이 아식보내고 아디,2024-08-02 10:53:00
1524969,아하 뒷스포일러 확인 해보겠습니다!! 감사합니다!!,놀이I평택,2024-08-02 11:25:00
1524969,충전중 충전에러가 가끔뜨면 그것도 확인해달라고 하시구요,쟁이 아식보내고 아디,2024-08-02 11:37:00
1524969,아직 제가 운행을 안하고 다음주에 인도를 받는지라.. 충전구 쪽 문제있는지도 확인해달라고 요청해보겠습니다! 감사합니다!,놀이I평택,2024-08-02 11:41:00
