id,title,content,likes,url,author,views,created_at,updated_at
18776692,주차중이던(충전X) 전기차 화재가 요번이 처음인가요?,"하루 종일 전기차땜에 게시판이 뜨겁군요.주차중이던 벤츠 전기차에 화재가 난게전 세계에서 요번이 두번째라는데테슬라나 현대차 등은 주차장에서 화재난 적이 없었나요? 하루 종일 궁금합니다.EQS 지난달에 출고해서 2달만에 8천키로나 운행하고, 전기차 너무 좋다고 주위에 전기차 구입을 권하기도 하고 전기차 전도사 비슷하게 되었는데 말이죠.오늘 주차하고 올라오는데 저 멀리 차들이 좀 없는쪽에 주차를 해야하나하고 계속 고민 중입니다.",0,https://www.clien.net/service/board/cm_car/18776692?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,PeterMarie,4859,2024-08-02 19:50:46,
18776665,전기차 주차 당분간은 시끄럽겠네용,,0,https://www.clien.net/service/board/cm_car/18776665?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,힝힝이,9128,2024-08-02 18:49:39,
18776642,기둥 번호로 살펴본 청라 지하주차장 화재,"나오고 있는 사진들을 바탕으로 화재 현장의 예측도를 그려 봤습니다.붉은색 차량이 발원지인 화재 차량.오랜지색 차량은 전소된 것이 사진에서 확인된 차량.파란색 차량은 CCTV에서 주차된 것이 확인되었거나 사진에서 전소되지 않은 것이 확인된 차량.보라색은 주차된 것은 확인 되었으나 전소 여부가 미확인인 차량. 분홍색 원은 천정의 파이프가 녹아내린 위치.노란색 삼각형은 사진이 촬영된 위치와 방향입니다.(어디까지나 사진을 바탕으로한 예측도이기에 틀릴수 있습니다.)(화재의 전척 과정이 궁금하여 추측을 위해 구성해본 내용입니다.)(확실한 정보는 감식 결과가 발표되야 알수 있겠습니다.)(노란 삼각형 1번)화재 발생전의 CCTV 사진입니다.화재차량 앞 바닦에 얇게 연기가 깔리는 것이 보입니다.파란 기둥과 하늘색 기둥 사이에 통로가 있고,통로에 이중주차한 차량도 보입니다.(노란 삼각형 2번)98번 기둥 칸에 주차한 화재 차량.화재차량 오른쪽 인접차량 한대가 전소.98번 기둥 옆의 BMW 차량은 측면에 열로 피해.98번 넘어의 차량은 직접적인 화재 발생은 없는 듯. 소화전이 있는 기둥 넘어의 화재차량 왼쪽 차량은 전소.(노란 삼각형 3번)화재차량 맞은 편 주차공간의 차량들은 직접 발화하지 않은 모습.통로를 건너 334동 표기의 파란기둥 쪽의 주차공간의 차량들은 전소 피해.(노란 삼각형 4번)104번 기둥이 보이고 차량들은 전소 피해.103번 기둥쪽으로 천정의 파이프가 무너진 모습이 보임.(노란 삼각형 5번)103번 기둥이 보이고 천정의 파이프가 열로 휜 모습을 더 가까이서 찍은 위치.(노란 삼각형 6번)104번 기둥이 보이고 104칸 구역을 마주한 주변 공간의 차량들은 직접 인화하지 않은 모습.(노란 삼각형 7번)사진 왼쪽 구석에 102번 기둥의 모습.열로 녹아서 휜 천정 파이프를 반대 방향에서 바라본 모습.102~104 구역의 주차 차량들이 모두 전소 피해를 본것으로 보임.사진으로 예측을 해보면 이런 상황으로 보이기도 합니다.아마도 환풍구 등의 공기 흐름의 영향이겠지만,화재차량을 기점으로 98번 기둥으로 화재가 번지지 않고,반대 방향인 99(?)번 기둥으로 번졌습니다.99번 주차칸에는 화재 차량에 인접한 한대 밖에 차량이 없었는데,화재는 빈 주차칸과 통로를 건너뛰어 101(?)~104번 주차구역에서 가장 큰 피해를 준것으로 보입니다.이러한 화재의 확산 이동이 환풍구로의 공기 흐름 때문으로,천정으로 올라간 열기가 공기흐름을 따라 이동한 것이라고 한다면,천정에 제연 방벽 등을 설치하는 것이 지하주차장 화재에서도 확산 방지에 도움이 될지 궁금하네요.https://www.clien.net/service/board/cm_car/18776841 CLIEN이미 준비되고 있는 전기차 지하주차장 화재 대응법https://m.fpn119.co.kr/a.html?uid=220592&sc=2024년 8월 9일 소방방재신문 화재사고 중간 조사내용 중,지하주차장 화재 확산 도면 사진 업데이트.",23,https://www.clien.net/service/board/cm_car/18776642?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,Tide,17038,2024-08-02 18:10:55,2024-08-09 21:05:36
18776625,송도 벤츠 지피티에서 보상관련 문의 결과.,"이건 차팔고 있는 회사면 해줘야죠? 안해주면 나라에서 나서주겠지 싶네요. 옥시사건 처럼 끝날수도 있을거 같에요지피티 아래인천 송도에서 발생한 벤츠 전기차 화재 사건과 관련하여, 벤츠가 보상을 해줄 가능성은 있습니다. 해당 차량이 벤츠 대여 차량이었고, 화재가 차량 충전 중이 아닌 상태에서 발생한 점을 고려하면, 제조사 측에서 결함이 있을 가능성이 큽니다. 이러한 경우, 벤츠는 고객의 피해를 보상하기 위해 조치를 취할 수 있습니다 [[❞]](https://mercedesblog.com/a-loaner-mercedes-eqe-350-caught-fire-in-the-garage-of-a-florida-mansion-even-though-it-wasnt-on-charge/) [[❞]](https://www.benzworld.org/threads/mb-loan-eqe-catches-fire-while-while-not-on-charge.3125081/).벤츠는 과거에도 전기차 화재 사건에 대해 리콜과 보상 등의 대응을 해왔기 때문에, 이번 사건에서도 유사한 조치가 예상됩니다. 실제로 벤츠는 전기차의 안전성 문제를 심각하게 다루며, 화재 위험이 있는 차량을 리콜하고 수리를 진행하는 등 적극적으로 대응해 왔습니다 [[❞]](https://www.incheon.go.kr/en/EN020401/2107622).따라서, 차량 소유자는 벤츠 공식 서비스 센터나 고객 지원 센터에 문의하여 자세한 보상 절차와 가능한 조치를 확인하는 것이 좋습니다.",0,https://www.clien.net/service/board/cm_car/18776625?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,나무아미타불...,5823,2024-08-02 17:44:05,
18776619,EQE 화재를 보니 답답하네요,,1,https://www.clien.net/service/board/cm_car/18776619?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,에릭핑거,8548,2024-08-02 17:33:28,
18776545,리튬 베터리의 위험성은 화재시 통제가 어려운거죠,어떤분은 베터리의 총열량이 휘발유보다 낮다고로 휘발유차가 화재시 더 위험하다 라는 주장도 하시던데저는 베터리 열량은 상세하게는 모릅니다일단 가솔린은 이렇다고 합니다kg당 46.7메가줄게임에서 흔하게 등장하는 폭탄 C4의 kg당열량은 ?어라 휘발유 보다 낮네요?실제로도 기폭제(뇌관)만 없으면 고체연료로 쓸수있을만큼 안전한편입니다하지만 폭탄으로써 C4는 휘발유 보다 위험하죠위험성은 얼마나 빠르게 그 에너지를 방출하느냐 입니다대부분 폭발물은 순식간에 그 에너지를 방출하기 때문에 위험한거죠 원자폭탄과 핵발전소도 그 차이죠 휘발유는 가연성물질중에 굉장히 잘 타는 물질이지만 소형 소화기로도 초기진압이 가능하고 어찌됬던 산소차단만 열심히 해주면 불을 끕니다리튬 베터리들은 연소속도가 매우 빠르고 내부에서 산소도 생성하기 때문에 우리가 화재진압에 쓰는 산소차단 물질들을 쏘아도 초기 진압이 사실상 어려운게 문제죠,2,https://www.clien.net/service/board/park/18776545?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,커피너마저,3528,2024-08-02 15:49:18,2024-08-02 15:51:44
18776472,아...이번 벤츠 전기차 화재는 너무 크네요...,이번 사고는 피해가 역대급이네요하필 벤츠...당장 저희 아파트도 어르신들 전기차 주차 못하게 해야 한다고 또 뭐라뭐라 하실게 뻔히 보여서 벌써 걱정이네요'벤츠가 가만히 있다가 불난거면 다른 전기차들은 더 하겠지'어른들 사이에서 벤츠 이미지가 좋다보니 이번엔 타격이 더 큰 느낌입니다,2,https://www.clien.net/service/board/cm_car/18776472?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,심쓴,4245,2024-08-02 14:05:40,
18776452,청라 전기차 화재 주차장 수습현장,"해당 주차당은 그냥 초토화 되었고 이외에 인접한 주차장 쪽도 그을음이 심하고 환기구가 연결된 층은 다 그을음과 연기가 퍼질 정도로 심했습니다. 아직 핵심 원인이 나오지 않았지만 작년부터 종종 CATL NCM811의 위험성에 대해 말한적이 있었는데 대부분 모르시거나 쉬쉬 하시더라구요. 현재 중국에서 LFP 70% 가량 삼원계 30% 가량이 전기차로 만들어지고 있습니다. BYD는 LFP 위주고 CATL은 삼원계와 LFP도 생산 합니다. CATL이 삼원계 배터리 NCM523이나 그 이하급의 배터리셀을 주력으로 하였으나 자국내 고성능 차량을 만들고 해외에 수출도 할려면 하이니켈로 가야하니 몇년전부터 NCM811급의 셀 연구를 주력으로 했었습니다. 고성능 차량용 배터리셀은 사실상 LG, SK 배터리셀이 아니면 불가능하니 좀더 싸게 만들 수 있는 CATL이 그 자리를 파고들려고 했었던걸로 보입니다. 삼원계는 에너지밀도를 올리고 안전성과 생산 수율을 다 잡는건 정말 어렵고 한국이 특허를 다 가지고 있기에 정말 거의 불가능에 가깝습니다. 그래도 NCM811급의 하이니켈에 연구를 집중 했고 자국내(중국)의 전기차 기업에 판매를 하기 시작했었습니다. 하지만 너무나 화재가 많이 났고 중국 공산당은 해당 영상을 지우기에 바빴습니다. 중국 공산당이 지원하는 산업 중에 하나이니까요. 그래서 관심 없던 분들은 대부분 몰랐던겁니다. 그리고 CATL이 이 하이니켈을 포기 할수 없으니 할인에 할인, 덤핑까지 해서 판매를 했고 그래도 펑펑 터져 나가니 심지어 중국 공산당 에서도 쓰지 말라는 권고까지 나왔었습니다. 이후 CATL이 안전성과 에너지 밀도, 생산성 해결을 위해 LG엔솔의 특허를 무단으로 침해를 했던걸로 보이고 LG에서 대응 중입니다. 셀 문제가 확인이 된다면 특허를 침해 했음에도 셀 제조 분야의 기술이나 기타 노하우는 무시할수 없는 수준으로 벌어져있는걸 보여주는 계기가 아닌가 싶구요. 그리고 벤츠가 중국에서 생산되고 LG셀에서 가격 때문에 CATL 셀로 전환 후에 화재가 많이 났고 미국에서도 벤츠 전기차에서 주차중에 화재가 났었습니다. 아직 정확한 분석이 나와봐야 알겠지만 몇대 판매 안된 벤츠 전기차에서 화재가 나는건 좀 심각하게 봐야 할듯 하구요. 포르쉐도 마칸은 CATL, 타이칸은 LG엔솔을 쓰는 이유가 가격뿐만 아니고 고방전이나 안전성에는 답이 없이 LG것을 써야한다는걸 알기 때문일겁니다. SK는 현대차에 배터리셀을 다 대기에 바쁘니까 포르쉐의 선택은 LG 밖에 없었을테구요. 안전을 극도로 생각하신다면 벤츠 or CATL NCM811 탑재 차량은 일단은 좀 피하는게 좋을 듯 합니다. 전기차는 주차중에도 셀 온도를 모니터링 하기에 온도가 오르면 냉각 시스템이 스스로 돌아갑니다. 벤츠 전기차량 자체의 냉각 시스템 문제일수도 있고 CATL 셀 자체의 문제일수도 있으니 가능성은 다 열어놓고 신중하게 차량 구매할 생각하셔야 할듯 합니다.",26,https://www.clien.net/service/board/cm_car/18776452?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,엑스베이스,21990,2024-08-02 13:30:45,2024-08-02 13:34:21
18776443,전기차 화재이슈 해외는 어떤지 궁금,"청라 주변 거주지가 있어 뉴스보다 아파트 단톡방에서 화재영상을 먼저 봤네요확실히 아파트/지하주차장 에 대해 전기차 화재가 참 대비도 거의 불가능한 수준이고 어려움이 있는것 같습니다.한국 주거환경에서는 전기차 못사겠다. 공포분위기가 보이는데궁금한 점이 해외는 현재 어떻게 관리되는가 네요.이런 전기차화재 뉴스가 타국 사례를 찾아보거나 혹은 한국기자가 안내를 해준다던가 이런걸 접해보진 못해서..전기차 보급이 한국이 좀 느린걸로 알고 있는데보급이 많이 진행중인유럽이나 중국 등에서는 어떤 대처나 준비가 되고 있는지 궁금하네요.미국 같은 인구밀도가 매우 낮은 곳 외에는한국식 아파트 정도는 아니더라도 공동주택은 있을거고주거 외에도 지하주차장, 주차타워 등 실내에 차량이 모여있는곳이 많을건데 실제로 화재발생은 있으나 정보를 접하지 못한건지전기차 충전기를 지하에는 놓지 않는 행정규칙 등이 있는건지전기차 보급이 빨라 어찌보면 우리나라보다 먼저 문제점을 대면한 곳의 대응을 벤치마크 할수 있으면 좋을듯 한데",0,https://www.clien.net/service/board/park/18776443?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,고굼땡,3732,2024-08-02 13:17:40,
18776430,이번 화재 배터리를 벤츠가 보증한다는 기사가 있었네요,"https://www.seoulfn.com/news/articleView.html?idxno=528173벤츠 전기 준대형 세단 EQE는 2022년 하반기 국내 출시됐다. 전기차 전용 플랫폼인 EVA(Electric Vehicle Architecture)를 토대로 개발됐으며, 여기에 들어가는 배터리 셀은 중국의 배터리 제조사 CATL의 니켈·코발트·망간(NCM)811이다. CATL NCM811은 중국 현지에서 안정성 개선이 필요한 셀로 여겨진다. 2020년 중국 현지 언론들은 ""이 셀로 인해 전기차 화재가 빈번히 일어나고 있다""며 ""완성차 제조사들은 해당 셀 전기차 적용 움직임을 멈춰야 한다""고 한목소리로 지적했다. 이와 관련, 벤츠 본사 전기차 개발 총괄 크리스토프 스타진스키는 EQE 국내 출시 전 진행한 국내 언론과의 인터뷰에서 ""벤츠 EQE에 탑재된 CATL 배터리 셀에 관해 우려할 필요가 전혀 없다. 모든 문제는 벤츠가 보증한다""고 자신했다.https://www.donga.com/news//article/all/20220419/112959144/2―EQE를 비롯해 EQS(SUV 포함) 등 한국 시장에서 인기가 많은 차급 전기차(고급 전기차)에 중국산 배터리 셀이 탑재되는데 일부 한국 소비자는 중국산 배터리 셀에 대한 신뢰가 높지 않다. 이에 대한 입장은... “벤츠는 배터리 셀 뿐 아니라 화학·소재 등 다양한 분야 업체와 협력한다. 벤츠 전기차에 탑재되는 배터리팩은 벤츠가 만들었다고 여기면 된다. 가령 사이드미러 역시 여러 업체로부터 부품을 공급받아 만들어지는데 사이드미러 공급업체를 따로 구분해 말하지 않는다. 이처럼 배터리 역시 벤츠가 만든 부품이라고 보면 된다. 또한 배터리 셀만 중국산일 뿐 다른 부품은 다양한 국가 파트너업체와 협력해 만들어진다. 안전성과 향후 품질에 대한 보증은 모두 벤츠가 담당하기 때문에 배터리 셀 공급업체에 대해 소비자가 신경 쓸 필요가 없다.”사고로인한 손해액이 크고,배상문제가 지지부진 해 질수록 아파트 주민들도, 차주의 고통도 커질텐데공언했던 대로 벤츠가 책임지고 보증해주면 좋겠습니다",10,https://www.clien.net/service/board/cm_car/18776430?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,파랑덕후,15120,2024-08-02 12:49:51,2024-08-02 12:50:03
18776429,벤츠 EQE 판매는 어려울 수도 있겠네요?,"이번 청라에서의 화재는 너무 큰 거 같습니다.피해규모가 상상이상이라서요..차 한대 잘못 사서 풍지박산 풍비박산 날 수 있겠다 생각이 들게 되면 너무 두려울 것 같네요..eqe는 말할 것도 없고, 중국 배터리에 대한 불신, 더 나아가 전기차에 대한 불신으로 이어져서전기차 시장 자체가 위험해 질지도 모르겠어요.부디 피해입으신 분의 쾌유를 빌고, 원만하게 잘 보상받기를 바랍니다.벤츠의 책임지는 모습을 기대해 봅니다.",0,https://www.clien.net/service/board/cm_car/18776429?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,Marcolini,6340,2024-08-02 12:49:16,2024-08-02 13:41:34
18776355,벤츠는 근데 너무 안일했네요..,https://m.kpinews.kr/amp/1065590191437501https://www.thecarview.com/news/articleViewAmp.html?idxno=730벤츠 EQE는 이미 BMS 리콜 (미국) 부터 냉각라인 문제도 있었는데 쉬쉬한건지..코나 화재때부터 그랬지만 BMS나 전기차 배터리 냉각 설계는 대단히 보수적으로 작동해야하지 않나 싶습니다. 코나는 BMS를 무려 세번이나 업데이트 했죠.. 그제서야 결국 전량 교체 리콜이 떨어졌지만요,1,https://www.clien.net/service/board/cm_car/18776355?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,sjkoon,5940,2024-08-02 10:54:48,2024-08-02 10:56:39
18776332,펌) 인천 청라 지하주차장 전기차 화재 차주 손배 책임 어쩌나?,"https://www.ilyosisa.co.kr/news/article.html?no=244521화재관련 기사 검색하다가 흥미 있는 내용이 있어 퍼옵니다. 그리고 제 나름대로 요약해 봤습니다.차주 A씨 주차 후 집으로 가던 차 내부서 연기와 화염 발생 119 신고자신의 차량은 전소되고, 옆에 주차된 다른차도 불에 타는 피해가 발생옆에 주차된 다른 차량에서 가입한 보험사가 차주에게 자차보험금 지급 후 A씨가 가입된 보험사에 소송 제기재판부 ""관리상 하자 인정 부족하고 증거가 없고 화재 확대 방지 조치를 취하지 않은 과실이 있다는 점을 인정하기도 부족하다""고 A씨 가입된 보험사에 손들어주면서 패소이런 판례가 있는거 보면 아파트관리소측에서 해당 차주에게 소송 걸어도 보상 받기는 쉽지 않을듯 합니다.가장 좋은건 벤츠에서 보상을 100% 해주는게 베스트이긴 한데...해줄 가능성이 있을려나 모르겠네요타사 사례도 있는데요 과거 쉐보레 볼트 전기차에서 주차 중 화재 발생한 적이 있었습니다. 이때는 당시 제조사인 쉐보레가 다 보상해준걸로 압니다.",0,https://www.clien.net/service/board/cm_car/18776332?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,등불하나,7047,2024-08-02 10:08:22,
18776300,전기차화재 대응 훈련을 수차례 해본 입장에서 생각해본 전기차화재,직장에서 전기차를 많이 다루다 보니 전기차 화재 대응 훈련을 수차례 해봤습니다.회사내 자체 소방대가 있기에 주도적으로 하진 못했지만 적어도 어떤 상황에서 어떻게 해야할지 배울 수 있는 기회였습니다.다들 아시다시피 전기차 화재는 진압이 매우 어렵습니다.현재까지 나온 대응방법은 크게1. 차량 전체를 수조에 담가 배터리팩 온도 하락시켜서 진화2. 화재가 초기라면 두꺼운 질식소화포로 차량 전체 감싸서 산소공급 차단3. 전기차가 밀집한 곳에는 소화가스 분사로 화재 진압 ( 사람있는 곳에는 사용불가 ) 문제는 아파트 대부분은 지하주차장이고 이 곳에서의 화재 진압은 매우 어렵다는 겁니다.아파트에서 주차된 차량의 대부분은 좌우에 주차된 차가 있기에 지게차가 접근하려면차량전면에서 길이방향으로 포크를 밀어넣어야 뜰수 있고 그러려면 대형 지게차가 항상 단지내 상주해야 합니다.또한 이동식수조 설치및 물받기는 능숙한 인력이라도 시간이 걸리기에 매년 재교육을 진행해야 하고요즉 수조 방식으로 진화하려면 아파트 단지마다1. 대형지게차 + 불타는 자동차를 운반할 용기2. 수조 + 숙련된 인원 위 두가지를 필수로 갖춰야 합니다.대부분의 단지가 심야시간에는 1명이 당직을 서는데 수조설치및 지게차 운전하려면 최소 2명은 있어야 하는데 쉽지않은 문제입니다.질식소화포 방식은 화재 초기에는 효과적이나 불길이 조금만 번져도 사용하기 어렵다는 단점이 있습니다.전기차 화재를 너무 공포분위기로 몰고갈 필요도 없지만내연기관과 달리 진화가 어렵다는 리스크도 분명 존재합니다.지하주차장이면 더더욱 피해 규모가 커지고요그렇다고 전기차 지하주차장 주차금지도 현실성이 없고그나마 합리적인 방안이라면1.주차장 카메라는 ai카메라로 교체해 화재발생시 즉각 당직자에게 알람보내는 방식으로 교체2. 119신고와 동시에 화재초기 질식소화포로 진압3. 진압안될수도 있으니 수조설치및 지게차 대기4. 화재 확산시 수조에 담그기이정도가 아파트에서 할 수 있는 최선이 아닐까 싶네요.심야시간 관리인력 추가로 인한 관리비 부담문제가 해결해야 할 숙제가 아닌가 싶습니다.,2,https://www.clien.net/service/board/cm_car/18776300?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,쥬쥬총회,3942,2024-08-02 09:20:33,
18775986,새벽 지하주차장 전기차 화재 / 인천 청라동,댓글에는 벤츠 라고 하는 글이 보이네요.원인은 아직 파악 전인 것 같습니다.,0,https://www.clien.net/service/board/park/18775986?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,mk-201,4914,2024-08-01 17:05:09,
18775956,마칸 EV 도 이번에 화재 사고 난 EQE 랑 동일한 CATL NCM811인데..,대충 기사 뒤져보니마칸 EV는 2023년 상반기부터 양산시작한 CATL Qilin CTP 3.0 배터리 탑재이고EQE 는 그 이전 버전 같은데 기본적으로는 동일한 구성의 배터리 팩이라는 점에서 고민이 깊어지네요..10월 쿼터 안타길 일단 잘했다는 생각은 드는데근데 CATL NCM811이거 벤츠랑 포르쉐(마칸) 말고도 적지 않은 자동차 제조사 브랜드의 전기차에 들어가는 배터리 아닌가요?,1,https://www.clien.net/service/board/cm_car/18775956?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,법돌법돌,6121,2024-08-01 16:08:51,
18775775,주차중 화재는 내연차가 훨씬 많이 나긴 하는데 관심도가 달라서..,3일전주차된 suv 발화https://www.kyeonggi.com/articleAmp/20240729580036일주일전보배에 올라온 1억언저리 마일드 하브 주차중 화재(제조사가 브랜드 이미지 어쩌고 고소한다고 차종 못 밝힘)https://capress.kr/hot-click/article/77098/?amp=12주전주차중 화재https://news.kbs.co.kr/news/mobile/view/view.do?ncd=80125593주전 당진 주차중 화재https://www.newsfreezone.co.kr/news/articleViewAmp.html?idxno=5799203주전비엠 주차중 화재https://m.edaily.co.kr/News/Read?newsId=03627686638952880&mediaCodeNo=2573주전 대전 주차타워 주차중 화재https://m.mt.co.kr/renew/view_amp.html?no=20240711191219756833주전화성 주차타워 주차중 화재https://www.hankyung.com/amp/20240712092373주전진주 원룸 주차중 화재https://m.yna.co.kr/amp/view/AKR20240711020500052더 있는데 요정도에서 자릅니다.사실 주차장에서 화재나는건 발견이 늦을 확률이 높아내연차도 위험하긴 매한가지라 보는데언론이 조회수에 맛들려서인지 사건 하나가 나도 뉴스 나오는 숫자가 다르다는 느낌을 받습니다공포조장으로 지하주차장 전기차 출입막자는 이야기 나올꺼봐 무섭네요.ps. 포터봉고 화재는 너무 많아서 기사도 안 나오는걸로 압니다(...),9,https://www.clien.net/service/board/cm_car/18775775?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,파랑덕후,16074,2024-08-01 11:14:22,
18775748,또 지하주차장 전기차 화재인가요? ㅜㅜ,"아침에 아파트에서 화재라는데 전기차 추정이네요..인천 청라 제일풍경채 지하 1층, 오전 6시경이고11명이 연기를 흡입했는데 영유아도 있다고..해당 아파트인지 확인은 안되지만 𝕏에 CCTV 영상이 올라왔네요.",0,https://www.clien.net/service/board/cm_car/18775748?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=3&sort=recency&boardCd=&isBoard=false,graycode,6444,2024-08-01 10:28:08,2024-08-01 10:29:56
18778321,벤츠 EQE 탑재 배터리가 CATL 이 아니라 패러시스였네요,"인천 청라지역 한 아파트에서 480여가구에 피해를 입힌 메르세데스-벤츠 전기차가 중국의 '푸넝커지'(孚能科技·패러시스) 배터리를 장착한 것으로 확인됐다. 당초 중국의 닝더스다이(CATL) 배터리가 장착된 것으로 알려졌지만, 국토교통부 사고 조사 과정에서 이와 같이 밝혀졌다.5일 국토부 등 정부 부처에 따르면 지난 1일 인천 청라국제도시 아파트 지하주차장에 화재가 발생한 벤츠의 전기차 'EQE 350'은 패러시스의 88.8㎾h 용량의 NCM(니켈·코발트·망간) 배터리를 탑재했다. 앞서 이번 화재 차량에 탑재했던 것으로 알려졌던 CATL의 NCM배터리는 벤츠의 EQS 모델에 탑재된 것으로 확인됐다.이에 대해 벤츠코리아 관계자는 ""아직까지 화재 사고 조사가 진행 중이기 때문에 어떤 업체의 배터리가 탑재된 것인지 확인해주기 곤란하다""며 ""다만 CATL 배터리를 탑재하지는 않았다""고 설명했다.-------- 중략 -----------CATL 이 아니었네요...",8,https://www.clien.net/service/board/cm_car/18778321?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=2&sort=recency&boardCd=&isBoard=false,법돌법돌,18534,2024-08-05 16:43:52,
18778313,전기차 지하주차 금지 규약 만드는 곳이 생기고 있네요,"https://v.daum.net/v/20240805101608084내용 중 ""아파트 특성상 법률가분들이 많이 거주하시는데 사유지 내 전기차 지하주차장 출입금지는 입주민의 결의만으로 가능한 부분으로 아무런 법적 문제가 없다고 검토해주셨다"" 라면서지상 없는 경우도 지하 금지.. 알아서 니가 사설 공터 주차장 구해라이렇게 쪽수로 몰고 가는듯 싶네요",0,https://www.clien.net/service/board/park/18778313?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=2&sort=recency&boardCd=&isBoard=false,polyatail,6189,2024-08-05 16:34:21,2024-08-05 16:35:59
18778106,벤츠 전기차 화재는 중국 배터리 결함이 확실해 보이네요.,,1,https://www.clien.net/service/board/cm_car/18778106?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=2&sort=recency&boardCd=&isBoard=false,23nq5lp,5501,2024-08-05 12:15:05,
18778081,"청라, 리콜로 대차받은 차???","안녕하세요보다보니, 어딘가에서벤츠차주의 차는 리콜로 수리중이며, 대차받은 차라는 것을 본거 같은데 내용이 없네요... 어디서 봤지...ㅠ혹시 내용 알고 계신 분 있으실까요??이러면 차주 잘못은 대체 어디있는건가 싶어서요.벤츠소유의 대차차량이 불난건데...",0,https://www.clien.net/service/board/park/18778081?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=2&sort=recency&boardCd=&isBoard=false,꼬마라크,8410,2024-08-05 11:24:44,
18778057,청라 밴츠 EQE 화재 감식이 오늘로 당겨졌다고 합니다.,https://mbn.co.kr/news/society/50472208일 감식이면 너무 늦지 않나 했는데 오늘로 당겨졌습니다.심지어 화재는 마지막 운행 후 59시간 동안 주차상태였다고하네요.,1,https://www.clien.net/service/board/cm_car/18778057?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=2&sort=recency&boardCd=&isBoard=false,아노군,4443,2024-08-05 11:00:26,
18777928,"벤츠 화재사건, 전기차주가 우선 보상(?)",전기차카페에서 퍼왔습니다 전기차주가 대물한도 초과분에 대해서는보상하고 소송을 통해 다시 돌려받으라는 내용을주장한 변호사가 있네요/Vollago,5,https://www.clien.net/service/board/cm_car/18777928?combine=true&q=%EB%B2%A4%EC%B8%A0+%ED%99%94%EC%9E%AC&p=2&sort=recency&boardCd=&isBoard=false,데일리킴,27045,2024-08-05 06:56:52,
